Date,Time,Site,SiteID,SPC,Cond,Temp (C),IC (mg/L)
10-12-2023,1:45 PM,Yahara Main,SITE-YMAIN-101223,507,467.3,19.2,59.63
10-12-2023,2:25 PM,Yahara 113,SITE-Y113-101223,703,560,14.3,54.4397
10-12-2023,2:40 PM,Six mile ,SITE-SIXMILE-101223,853,623,11.5,47.1175
10-12-2023,2:55 PM,Dorn,SITE-DORN-101223,791,580,11,29.4564
10-12-2023,3:20 PM,PBranch,SITE-PB-101223,1225,914,11.7,141.227
11-03-2023,10:55 AM,PBranch ,SITE-PB-110323,736,655,19.1,111.5352
11-03-2023,11:24 AM,Dorn Creek ,SITE-DORN-110323,621,513,15.9,33.3671
11-03-2023,11:42 AM,Six mile ,SITE-SIXMILE-110323,666,520,13.5,49.3993
11-03-2023,12:09 PM,Yahara 113 ,SITE-Y113-111523,625,471.2,12.2,51.2853
11-03-2023,12:46 PM,Yahara Main,SITE-YMAIN-110323,510,380.3,11.7,57.8715
11-03-2023,1:21 PM,McFarland,SITE-MCFAR-110323,565,425.5,12.1,82.6596
11-03-2023,2:20 PM,Yahara at Fulton,SITE-YFULTON-110323,546,425.2,13.4,75.9867
11-15-2023,9:07 AM,PBranch ,SITE-PB-111523,828,729,18.7,122.1776
11-15-2023,9:28 AM,Dorn Creek ,SITE-DORN-111523,623,507,15.3,32.2809
11-15-2023,9:40 AM,Six mile ,SITE-SIXMILE-111523,654,527,14.8,49.1369
11-15-2023,10:00 AM,Yahara 113 ,SITE-Y113-111523,606,475.9,13.7,49.4143
11-15-2023,10:27 AM,Yahara Main,SITE-YMAIN-111523,477.2,382.3,14.6,57.1453
11-15-2023,11:00 AM,McFarland,SITE-MCFAR-111523,532,422.2,14.2,83.7912
12-21-2023,9:49 AM,PBranch ,SITE-PB-122123,802,748,21.6,158.2518
12-21-2023,10:03 AM,Dorn Creek ,SITE-DORN-122123,531,452.2,17.1,42.9936
12-21-2023,10:15 AM,Six mile ,SITE-SIXMILE-122123,573,459.9,14.6,47.4976
12-21-2023,10:31 AM,Yahara 113 ,SITE-Y113-122123,569,439.9,13.1,52.9397
12-21-2023,10:52 AM,Yahara Main,,428.3,318.4,11.6,
12-21-2023,11:28 AM,McFarland,SITE-MCFAR-122123,481.7,350.8,10.8,81.5629
12-21-2023,11:58 AM,Yahara at Fulton,SITE-YFULTON-122123,512,360.3,9.5,75.7208
01-22-2024,3:17 PM,PBranch ,SITE-PB-012224,1190,752,2.2,161.587
01-22-2024,3:40 PM,Dorn Creek ,SITE-DORN-012224,675,392.7,1.5,31.4717
01-22-2024,3:50 PM,Six mile ,SITE-SIXMILE-012224,774,455.8,1.8,46.1731
01-22-2024,4:05 PM,Yahara 113 ,SITE-Y113-012224,803,459,1.1,63.2018
01-22-2024,1:26 PM,Yahara Main,SITE-YMAIN-012224,546,321.7,2.5,64.1041
01-22-2024,2:50 PM,McFarland,SITE-MCFAR-012224,591,360.4,1.7,84.606
01-25-2024,,PBranch ,SITE-PB-012524,2056,1152,2,423.369
01-25-2024,,Yahara Main,SITE-YMAIN-012524,601,2,1.1,73.7236
02-06-2024,11:55 AM,Yahara at Fulton,SITE-YFULTON-020624,717,411.6,3,79.0387
02-06-2024,12:28 PM,Mcfarland,SITE-MCFAR-020624,701,413,3.6,85.9213
02-11-2024,12:19 PM,Dorn Creek ,SITE-DORN-021124,1128,843,4.8,55.5326
02-11-2024,12:31 PM,Six Mile ,SITE-SIXMILE-021124,732,431,3.5,45.2925
02-11-2024,12:46 PM,Yahara 113,SITE-Y113-021124,713,411.9,2.9,55.1004
02-11-2024,1:15 PM,Yahara Main,SITE-YMAIN-021124,549,362.3,3.8,59.2368
02-26-2024,8:32 AM,PBranch,SITE-PB-022624,1420,910,4.9,237.5157
02-26-2024,8:49 AM,Dorn Creek ,SITE-DORN-022624,771,455,3.5,34.6169
02-26-2024,9:00 AM,Six Mile ,SITE-SIXMILE-022624,806,493.7,4.8,51.5207
02-26-2024,9:14 AM,Yahara 113,SITE-Y113-022624,748,439.8,3.5,52.829
02-26-2024,9:33 AM,Yahara Main,SITE-YMAIN-022624,552,329.4,3.9,58.7773
02-26-2024,10:00 AM,Mcfarland,SITE-MCFAR-022624,617,389.5,5.7,81.25765
